Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Zkscan14	5	0.5	0.5	0	0	1	3	6	0.380648	0.7	-0.7	0.398853337339142	0.0238141376345922	0	FALSE	4468	91	248
Ncapd2	4	0.4	0.4	0	1	0	6	3	0.583927	0.7	-0.7	0.800660958389665	0.212863656779268	1	FALSE	1082	376	249
Myt1	3	0.375	0.3	2	1	0	3	4	0.393105	0.625	0.625	0.817285063341846	0.339362296148275	1	FALSE	162	2545	250
Abcb9	4	0.4	0.4	0	1	0	5	4	0.443193	0.6	-0.6	0.556882479595413	0.236054251465278	1	FALSE	766	539	251
Sapcd1	2	0.2	0.2	0	1	0	7	2	0.496488	0.8	-0.8	0.68173852085524	0.388846520634058	1	FALSE	69	5985	252
Sema3b	3	0.3	0.3	0	1	0	5	4	0.5254235	0.6	-0.6	0.787942516649141	0.327713794235065	1	FALSE	197	2104	253
Efnb1	5	0.5	0.5	0	1	0	1	8	0.377644	0.9	0.9	0.655750838716138	0.0238141376345922	0	FALSE	4468	93	254
Ptprs	3	0.3	0.3	0	1	0	6	3	0.243077	0.7	-0.7	0.883030394071403	0.361741653963566	1	FALSE	112	3718	255
Nxn	5	0.5	0.5	0	1	0	2	7	0.372297	0.8	0.8	0.645510990936858	0.0238141376345922	0	FALSE	4468	94	256
Rbm24	1	0.1	0.1	0	1	0	1	8	0.497798	0.9	0.9	0.660057082770017	0.415544807015347	1	FALSE	41	10266	257
Shisa4	2	0.2	0.2	0	1	0	6	3	0.299465	0.7	-0.7	0.578639026588553	0.394392337384751	1	FALSE	62	6807	258
Tnip1	5	0.5	0.5	0	1	0	3	6	0.239871	0.7	0.7	0.592008412197687	0.156803806778277	0	FALSE	2502	169	259
Ackr3	4	0.5	0.4	2	1	0	3	4	0.5389625	0.625	0.625	0.946171949326523	0.216054127408089	1	FALSE	1029	411	260
Stx1a	5	0.5	0.5	0	1	0	6	3	0.371798	0.7	-0.7	0.824795954133494	0.0238141376345922	0	FALSE	4468	95	261
Mlc1	2	0.25	0.2	2	0	1	4	3	0.36299875	0.625	0.625	0.803389915377297	0.391313795406594	1	FALSE	66	6441	262
Bace2	4	0.5	0.4	2	1	0	3	4	0.8367625	0.625	0.625	0.883380902308347	0.192627448611672	0	FALSE	1490	286	263
Arhgap39	3	0.3	0.3	0	1	0	5	4	0.188678	0.6	-0.6	0.248835811927295	0.370792734723919	1	FALSE	96	4448	264
Nasp	5	0.5	0.5	0	0	1	5	4	0.370032	0.6	0.6	0.769966451354464	0.0238141376345922	0	FALSE	4468	96	265
Zdhhc9	4	0.4	0.4	0	1	0	3	6	0.296551	0.7	0.7	0.307846377247008	0.265246987892285	1	FALSE	501	858	266
Selplg	4	0.4	0.4	0	0	1	3	6	0.689078	0.7	-0.7	0.854764408392169	0.20036553941316	0	FALSE	1318	327	267
Pbxip1	5	0.5	0.5	0	1	0	6	3	0.364617	0.7	-0.7	0.785639176806369	0.0238141376345922	0	FALSE	4468	97	268
Tdrd7	3	0.3	0.3	0	1	0	5	4	0.220677	0.6	-0.6	0.708752691402534	0.363869197041967	1	FALSE	108	4020	269
Lbh	4	0.4	0.4	0	1	0	6	3	0.229785	0.7	-0.7	0.865955635671724	0.284302062972854	1	FALSE	381	1140	270
Rgs20	3	0.375	0.3	2	1	0	4	3	0.48644875	0.625	-0.625	0.816609083170597	0.327166715511368	1	FALSE	199	2200	271
Pip4k2b	5	0.5	0.5	0	0	1	1	8	0.1902476	0.9	-0.9	0.168218917430274	0.168621349633435	0	FALSE	2132	206	272
Slc6a11	4	0.5	0.4	2	1	0	4	3	0.8771975	0.625	-0.625	0.900355515497471	0.187989911825213	0	FALSE	1603	275	273
Eef1e1	5	0.5	0.5	0	0	1	3	6	0.354012	0.7	-0.7	0.468178859346052	0.0238141376345922	0	FALSE	4468	99	274
Adamts14	3	0.333	0.3	1	0	1	2	6	0.743675555555556	0.777777777777778	-0.777777777777778	0.610360022031946	0.313124433311711	1	FALSE	249	1791	275
Cep192	5	0.5	0.5	0	0	1	6	3	0.35396925	0.7	0.7	0.515772870662461	0.0238141376345922	0	FALSE	4468	100	276
Mapk7	4	0.4	0.4	0	1	0	5	4	0.251825	0.6	-0.6	0.290821691452606	0.275128282671525	1	FALSE	434	1030	277
Esyt1	1	0.1	0.1	0	1	0	5	4	0.1539716	0.6	-0.6	0.520004005808422	0.422051634979249	1	FALSE	36	12425	278
Tmcc2	4	0.4	0.4	0	1	0	3	6	0.396327	0.7	0.7	0.754418907415753	0.239554502103799	1	FALSE	730	616	279
Sppl2a	5	0.5	0.5	0	1	0	3	6	0.3537174	0.7	0.7	0.433303289770167	0.0238141376345922	0	FALSE	4468	101	280
Sox8	3	0.375	0.3	2	0	1	6	1	0.39054	0.875	0.875	0.767312603274748	0.334242318782439	1	FALSE	177	2558	281
Gdpd1	1	0.1	0.1	0	1	0	2	7	0.253414	0.8	0.8	0.701316909518802	0.416763884609267	1	FALSE	40	11344	282
Ndor1	0	0	0	0	0	1	4	5	0.1581975	0.6	-0.6	0.20840218316559	0.434158198692844	1	FALSE	28	16240	283
Mfrp	3	0.375	0.3	2	0	0	4	4	1.2002125	0.5	-0.5	NA	0.304606557392489	1	FALSE	282	1620	284
Mphosph9	4	0.4	0.4	0	0	1	4	5	0.313574	0.6	-0.6	0.433052926743778	0.256821559231589	1	FALSE	568	805	285
Marcksl1	3	0.333	0.3	1	0	0	3	6	0.260004444444444	0.666666666666667	-0.666666666666667	0.96565019277953	0.352547370290364	1	FALSE	131	3499	286
Azin1	2	0.2	0.2	0	1	0	6	3	0.16629	0.7	-0.7	0.278278503830554	0.401835757700648	1	FALSE	54	8510	287
Mcm2	4	0.4	0.4	0	0	1	6	3	0.3167147	0.7	0.7	0.847403735416354	0.255379673051219	1	FALSE	580	793	288
Trim67	2	0.2	0.2	0	0	1	4	5	0.5301062	0.6	-0.6	0.728130789644985	0.382321493194919	1	FALSE	78	5907	289
Asrgl1	4	0.4	0.4	0	0	1	7	2	0.231962	0.8	0.8	0.615842972309849	0.279226783501598	1	FALSE	409	1131	290
Fbxl20	5	0.5	0.5	0	1	0	0	9	0.347713	1	1	0.312753492564218	0.0238141376345922	0	FALSE	4468	104	291
Naxe	5	0.5	0.5	0	1	0	4	5	0.192772	0.6	0.6	0.291021981873717	0.163604109727651	0	FALSE	2281	205	292
Olfml3	3	0.3	0.3	0	1	0	6	3	0.448036	0.7	-0.7	0.899303990786641	0.325839344445936	1	FALSE	203	2308	293
