Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Serpina3f	2	0.133	0.069	14	1	0	1	11	0.798759333333333	0.923076923076923	0.923076923076923	0.968804766912022	0.0466769003931763	0.301587301587302	NA	NA	FALSE	11621	3672	7248
Il1r2	2	0.069	0.069	0	3	3	9	12	0.408438931034483	0.555555555555556	-0.555555555555556	0.978343598217415	0.0591697021486479	0.253968253968254	0.0558653502330273	0.719669626631559	FALSE	9498	4493	7249
Itpr3	0	0	0	0	3	3	13	8	0.208583793103448	0.592592592592593	0.592592592592593	0.601772570226829	0.109337629206998	0.587301587301587	-0.197926760026753	0.252024274315405	FALSE	2711	15749	7250
Lamp1	0	0	0	1	2	3	13	8	0.139553928571429	0.615384615384615	0.615384615384615	0.203319813729908	0.111696379576448	0.523809523809524	0.166396424859693	0.212912812196918	FALSE	2534	16850	7251
Pex5	2	0.069	0.069	0	4	2	12	9	0.146338620689655	0.592592592592593	-0.592592592592593	0.104751890240849	0.0814286218363017	0.396825396825397	0.133179851130182	0.292500465934023	FALSE	5937	7195	7252
Fgfr1	2	0.069	0.069	0	1	5	8	13	0.403168724137931	0.666666666666667	-0.666666666666667	0.753993290270893	0.0595443460227602	0.19047619047619	-0.216346961958489	0.121553832457193	FALSE	9451	4522	7253
Cops3	2	0.069	0.069	0	4	2	14	7	0.157364137931034	0.666666666666667	-0.666666666666667	0.0873766962095038	0.0807183153169352	0.507936507936508	-0.0741510569975095	0.545419530568368	FALSE	6053	7062	7254
Trim17	1	0.038	0.034	3	2	3	9	10	0.307215	0.541666666666667	-0.541666666666667	0.37669620950378	0.0921340097739744	0.73015873015873	0.00529399155004384	0.982285859452606	FALSE	4511	9481	7255
Mybpc2	1	0.043	0.034	6	3	2	9	7	0.601297826086956	0.571428571428571	-0.571428571428571	0.840068098743178	0.0842188401463643	0.666666666666667	-0.0663121946333796	0.795076797611167	FALSE	5520	7750	7256
Lrr1	1	0.034	0.034	0	3	3	13	8	0.466439310344828	0.592592592592593	0.592592592592593	0.952556206499424	0.086672703574177	0.603174603174603	0.125610323485411	0.221920543887839	FALSE	5172	8272	7257
Med14	2	0.069	0.069	0	4	2	13	8	0.265761034482759	0.62962962962963	-0.62962962962963	0.365980671974363	0.0688296919749485	0.53968253968254	-0.0276544081925607	0.890535071401364	FALSE	7887	5429	7258
C1qtnf1	2	0.071	0.069	1	4	2	12	8	0.476531071428571	0.615384615384615	-0.615384615384615	0.724099944920134	0.0550249144070066	0.349206349206349	-0.191134679594295	0.13683156666753	FALSE	10200	4198	7259
Eif2ak4	1	0.034	0.034	0	0	6	8	13	0.324689965517241	0.703703703703704	-0.703703703703704	0.0839967953532622	0.0912670580525367	0.603174603174603	-0.0423675524401226	0.833431466018292	FALSE	4607	9297	7260
