Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
MSH5_Msh5	1	0.111	0.1	1	3	1	3	2	0.413758888888889	0.666666666666667	-0.666666666666667	1	0	0.15213268888118	0.6875	FALSE	691	13641	2500
FAM210A_Fam210a	5	0.556	0.5	1	3	1	1	4	0.274216666666667	0.777777777777778	0.777777777777778	5	0	0.100491962034261	0.625	FALSE	3753	2513	2501
HSF1_Hsf1	4	0.4	0.4	0	5	0	3	2	0.208813	0.8	-0.8	3	1	0.124374906357692	0.625	FALSE	1777	5309	2502
XPR1_Xpr1	6	0.6	0.6	0	0	5	2	3	0.299635	0.8	-0.8	6	0	0.0579135040772458	0.5625	FALSE	9710	972	2503
EBF2_Ebf2	5	0.556	0.5	1	1	3	1	4	1.11968555555556	0.777777777777778	-0.777777777777778	4	1	0.0720635288012047	0.375	FALSE	7586	1246	2504
CDCA5_Cdca5	4	0.4	0.4	0	4	1	1	4	0.538947	0.8	0.8	3	1	0.115225730485849	0.6875	FALSE	2404	3932	2505
SNRPE_Snrpe	4	0.4	0.4	0	2	3	2	3	0.30998411	0.6	-0.6	2	2	0.12083332141587	0.6875	FALSE	2015	4694	2506
PCBP1_Pcbp1	3	0.3	0.3	0	3	2	2	3	0.13151806	0.6	0.6	3	0	0.141045801399993	0.625	FALSE	1038	9113	2507
CEP41_Cep41	5	0.556	0.5	1	1	3	2	3	0.361926666666667	0.666666666666667	-0.666666666666667	5	0	0.0961066448583105	0.5	FALSE	4199	2256	2508
BHLHE22_Bhlhe22	5	0.5	0.5	0	0	5	2	3	1.729199	0.8	-0.8	3	2	0.0657233053733332	0.375	FALSE	8585	1104	2509
PLA2G15_Pla2g15	4	0.444	0.4	1	4	0	2	3	0.527891111111111	0.777777777777778	0.777777777777778	4	0	0.115334511728867	0.6875	FALSE	2393	3963	2510
FUZ_Fuz	3	0.333	0.3	1	3	1	2	3	0.343715777777778	0.666666666666667	0.666666666666667	2	1	0.135198273050277	0.625	FALSE	1258	7548	2511
HSD17B7_Hsd17b7	5	0.556	0.5	1	0	4	2	3	0.648211111111111	0.777777777777778	-0.777777777777778	4	1	0.0861888360633393	0.3125	FALSE	5511	1727	2512
COL25A1_Col25a1	4	0.444	0.4	1	0	4	3	2	1.28238111111111	0.777777777777778	0.777777777777778	3	1	0.105438912955956	0.4375	FALSE	3234	2943	2513
NSDHL_Nsdhl	6	0.6	0.6	0	2	3	1	4	0.552579	0.7	-0.7	4	2	0.0332806677721188	0.125	FALSE	13278	717	2514
PBRM1_Pbrm1	4	0.444	0.4	1	1	3	3	2	0.184653333333333	0.666666666666667	0.666666666666667	4	0	0.124833703643978	0.5625	FALSE	1751	5439	2515
RPL35A_Rpl35a	4	0.571	0.4	3	5	0	1	1	0.400169271428571	0.857142857142857	0.857142857142857	2	2	0.118025728151092	0.6875	FALSE	2197	4339	2516
SLITRK2_Slitrk2	6	0.6	0.6	0	0	5	1	4	0.760207	0.9	-0.9	4	2	0.0091650594434233	0	FALSE	16580	575	2517
DNASE2_Dnase2a	4	0.571	0.4	3	5	0	1	1	1.03357142857143	0.857142857142857	0.857142857142857	3	1	0.106970929655747	0.625	FALSE	3076	3100	2518
PAPSS2_Papss2	6	0.6	0.6	0	4	1	1	4	0.67153	0.8	0.8	4	2	0.0217708028908077	0.125	FALSE	14971	637	2519
PKIA_Pkia	5	0.5	0.5	0	0	5	2	3	0.861973	0.8	-0.8	4	1	0.0783716074229301	0.4375	FALSE	6658	1433	2520
HIF1A_Hif1a	3	0.3	0.3	0	3	2	3	2	0.2624056	0.6	-0.6	3	0	0.137034983969602	0.5625	FALSE	1185	8054	2521
GRM2_Grm2	5	0.556	0.5	1	0	5	1	3	1.43676555555556	0.888888888888889	-0.888888888888889	3	2	0.0669434628823114	0.625	FALSE	8387	1138	2522
DUSP7_Dusp7	4	0.4	0.4	0	2	3	4	1	0.35596	0.7	0.7	2	2	0.119179022109469	0.625	FALSE	2128	4490	2523
SULT2B1_Sult2b1	5	0.5	0.5	0	3	2	4	1	0.734012	0.7	-0.7	4	1	0.0826911200680377	0.75	FALSE	6003	1592	2524
VSTM4_Vstm4	6	0.6	0.6	0	4	1	1	4	0.73623	0.8	0.8	4	2	0.013111292369766	0.0625	FALSE	16036	597	2525
UBE2I_Ube2i	4	0.4	0.4	0	2	3	1	4	0.1510144	0.7	-0.7	3	1	0.12532846340803	0.625	FALSE	1725	5551	2526
