Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
UNC119_Unc119	4	0.182	0.174	1	3	0	7	6	0.288885636363636	0.625	-0.625	3	1	0.0870178652744041	0.363636363636364	FALSE	3902	3012	3058
CCNL1_Ccnl1	5	0.217	0.217	0	2	1	8	6	0.355101782608696	0.588235294117647	-0.588235294117647	3	2	0.0510164432227426	0.0909090909090909	FALSE	10424	1128	3059
CRYBB3_Crybb3	2	0.091	0.087	1	2	1	11	2	1.50779295454545	0.8125	-0.8125	1	1	0.113234321774158	0.363636363636364	TRUE	1676	7017	3060
ADGRB2_Adgrb2	2	0.105	0.087	4	2	1	6	4	0.507294210526316	0.615384615384615	-0.615384615384615	2	0	0.118413613608492	0.181818181818182	FALSE	1413	8327	3061
C19orf25_2310011J03Rik	2	0.087	0.087	0	2	1	6	8	0.227792130434783	0.588235294117647	0.588235294117647	2	0	0.124187651254039	0.363636363636364	FALSE	1147	10263	3062
JAKMIP1_Jakmip1	4	0.222	0.174	5	1	2	5	5	0.68743	0.538461538461538	-0.538461538461538	3	1	0.0703133231752485	0.0909090909090909	FALSE	6484	1817	3063
BAIAP2L1_Baiap2l1	4	0.174	0.174	0	2	1	5	9	0.666397826086957	0.647058823529412	0.647058823529412	2	2	0.0709356862602093	0.272727272727273	FALSE	6371	1850	3064
GNG3_Gng3	3	0.167	0.13	5	2	1	4	5	0.52972	0.583333333333333	0.583333333333333	2	1	0.100712091252065	0.272727272727273	FALSE	2582	4565	3065
TAOK2_Taok2	3	0.136	0.13	1	1	2	8	5	0.261517272727273	0.625	0.625	1	2	0.109358981684709	0.454545454545455	FALSE	1921	6136	3066
BATF3_Batf3	3	0.15	0.13	3	1	1	7	5	0.409762	0.571428571428571	0.571428571428571	1	2	0.103952299995474	0	FALSE	2312	5100	3067
HYAL1_Hyal1	3	0.136	0.13	1	2	1	9	4	0.568863636363636	0.6875	-0.6875	1	2	0.0999086019621445	0.272727272727273	FALSE	2660	4433	3068
OTX1_Otx1	3	0.15	0.13	3	2	1	7	4	0.6462955	0.642857142857143	-0.642857142857143	2	1	0.0977817286192368	0.181818181818182	FALSE	2812	4198	3069
ARHGAP18_Arhgap18	4	0.2	0.174	3	2	1	3	8	0.40060635	0.714285714285714	0.714285714285714	3	1	0.0809215999474207	0.272727272727273	FALSE	4707	2509	3070
