Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
SLITRK6_Slitrk6	6	0.079	0.068	12	6	8	32	17	0.515811855263158	0.634920634920635	0.634920634920635	1	5	0.147164016381638	0.303030303030303	FALSE	11	8850	71
HCN1_Hcn1	20	0.247	0.227	7	12	3	20	29	0.676335974074074	0.640625	0.640625	13	7	0.0909143304362982	0.303030303030303	FALSE	1320	74	72
EGLN3_Egln3	24	0.286	0.273	4	10	5	14	38	0.451140476190476	0.716417910447761	0.716417910447761	17	7	0.0668658782629025	0.272727272727273	FALSE	7033	14	73
PCDH9_Pcdh9	20	0.247	0.227	7	10	5	11	37	0.388522888888889	0.746031746031746	0.746031746031746	14	6	0.0918875917291392	0.242424242424242	FALSE	1201	84	74
GALNT3_Galnt3	10	0.116	0.114	2	4	11	25	29	0.371335305813953	0.579710144927536	-0.579710144927536	5	5	0.135317356663603	0.393939393939394	FALSE	31	3306	75
EPHA3_Epha3	12	0.141	0.136	3	11	4	11	42	0.320194588235294	0.779411764705882	0.779411764705882	7	5	0.126543901905114	0.393939393939394	FALSE	58	1800	76
SCN3B_Scn3b	25	0.301	0.284	5	5	10	44	6	0.359138385542169	0.830769230769231	0.830769230769231	20	5	0.0606796806204684	0.181818181818182	FALSE	9582	11	77
TRPM8_Trpm8	10	0.145	0.114	19	5	7	24	19	0.664016652173913	0.563636363636364	0.563636363636364	5	5	0.134410914054176	0.303030303030303	FALSE	34	3185	78
ZNF217_Zfp217	9	0.107	0.102	4	13	2	18	33	0.177209654761905	0.696969696969697	0.696969696969697	4	5	0.140617930353879	0.393939393939394	FALSE	22	4951	79
PLXND1_Plxnd1	13	0.153	0.148	3	6	9	24	28	0.247772785882353	0.552238805970149	-0.552238805970149	8	5	0.122311739580759	0.303030303030303	FALSE	81	1358	80
CLSTN2_Clstn2	19	0.229	0.216	5	6	9	20	30	0.558428975903615	0.6	-0.6	12	7	0.0937236096695408	0.333333333333333	FALSE	1028	109	81
ASAP1_Asap1	20	0.235	0.227	3	12	3	14	38	0.210582518588235	0.746268656716418	0.746268656716418	12	8	0.0926278544040113	0.212121212121212	FALSE	1123	100	82
FLRT3_Flrt3	23	0.261	0.261	0	12	3	12	43	0.494335943181818	0.785714285714286	0.785714285714286	15	8	0.0761687584486612	0.242424242424242	FALSE	3945	29	83
ADGRA3_Adgra3	14	0.165	0.159	3	11	4	24	28	0.171024518823529	0.582089552238806	0.582089552238806	7	7	0.119086189387442	0.424242424242424	FALSE	109	1062	84
TMCC3_Tmcc3	15	0.183	0.17	6	12	3	16	34	0.25760786097561	0.707692307692308	0.707692307692308	8	7	0.114040787009139	0.424242424242424	FALSE	173	673	85
FGF11_Fgf11	23	0.261	0.261	0	4	11	44	11	0.443871715909091	0.785714285714286	0.785714285714286	20	3	0.0768343710670157	0.272727272727273	FALSE	3765	31	86
ROBO2_Robo2	16	0.219	0.182	15	10	4	10	33	0.349437342465753	0.754385964912281	0.754385964912281	15	1	0.108533384937498	0.272727272727273	FALSE	289	404	87
